item_id,model_id,precision,no_rag,with_rag
clinical_astra_b01_004,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_004,google/gemma-3-12b-it,NF4,1.0,0.0
clinical_astra_b01_004,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_004,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_004,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_004,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_004,meta-llama/Llama-3.1-8B-Instruct,NF4,0.0,1.0
clinical_astra_b01_004,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_004,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_005,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_005,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_005,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_005,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_005,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_005,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_005,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_005,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_005,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_005,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,0.0
clinical_astra_b01_005,meta-llama/Llama-3.1-8B-Instruct,NF4,1.0,0.0
clinical_astra_b01_005,meta-llama/Llama-3.2-1B-Instruct,BF16,0.0,0.0
clinical_astra_b01_005,meta-llama/Llama-3.2-1B-Instruct,NF4,0.0,0.0
clinical_astra_b01_005,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_005,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_006,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_006,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_006,XHToken/Spark-X2.5-4B,BF16,0.0,0.0
clinical_astra_b01_006,XHToken/Spark-X2.5-4B,NF4,1.0,1.0
clinical_astra_b01_006,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_006,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_006,google/gemma-3-12b-it,BF16,0.0,0.0
clinical_astra_b01_006,google/gemma-3-12b-it,NF4,0.0,0.0
clinical_astra_b01_006,google/gemma-3-27b-it,BF16,0.0,0.0
clinical_astra_b01_006,google/gemma-3-27b-it,NF4,0.0,0.0
clinical_astra_b01_006,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_006,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_006,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,0.0
clinical_astra_b01_006,meta-llama/Llama-3.1-8B-Instruct,NF4,0.0,0.0
clinical_astra_b01_006,meta-llama/Llama-3.2-1B-Instruct,BF16,0.0,0.0
clinical_astra_b01_006,meta-llama/Llama-3.2-1B-Instruct,NF4,0.0,0.0
clinical_astra_b01_006,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_006,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_007,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_007,XHToken/Spark-X2.5-4B,BF16,1.0,0.0
clinical_astra_b01_007,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_007,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_007,google/gemma-3-12b-it,NF4,1.0,0.0
clinical_astra_b01_007,google/gemma-3-27b-it,BF16,0.0,1.0
clinical_astra_b01_007,google/gemma-3-27b-it,NF4,0.0,1.0
clinical_astra_b01_007,google/gemma-4-12B-it,BF16,1.0,0.0
clinical_astra_b01_007,google/gemma-4-12B-it,NF4,1.0,0.0
clinical_astra_b01_007,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_007,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,0.0
clinical_astra_b01_007,microsoft/phi-4,BF16,0.0,1.0
clinical_astra_b01_007,microsoft/phi-4,NF4,0.0,1.0
clinical_astra_b01_008,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_008,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_008,XHToken/Spark-X2.5-4B,BF16,1.0,1.0
clinical_astra_b01_008,XHToken/Spark-X2.5-4B,NF4,1.0,1.0
clinical_astra_b01_008,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_008,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_008,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_008,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_008,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_008,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_008,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_008,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_008,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,1.0
clinical_astra_b01_008,meta-llama/Llama-3.1-8B-Instruct,NF4,1.0,1.0
clinical_astra_b01_008,meta-llama/Llama-3.2-1B-Instruct,BF16,1.0,0.0
clinical_astra_b01_008,meta-llama/Llama-3.2-1B-Instruct,NF4,1.0,1.0
clinical_astra_b01_008,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_008,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_009,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_009,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_009,XHToken/Spark-X2.5-4B,BF16,0.0,1.0
clinical_astra_b01_009,XHToken/Spark-X2.5-4B,NF4,0.0,1.0
clinical_astra_b01_009,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_009,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_009,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_009,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_009,google/gemma-3-27b-it,BF16,0.0,1.0
clinical_astra_b01_009,google/gemma-3-27b-it,NF4,0.0,1.0
clinical_astra_b01_009,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_009,google/gemma-4-12B-it,NF4,0.0,1.0
clinical_astra_b01_009,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_009,meta-llama/Llama-3.1-8B-Instruct,BF16,0.0,1.0
clinical_astra_b01_009,meta-llama/Llama-3.1-8B-Instruct,NF4,0.0,1.0
clinical_astra_b01_009,meta-llama/Llama-3.2-1B-Instruct,BF16,0.0,1.0
clinical_astra_b01_009,meta-llama/Llama-3.2-1B-Instruct,NF4,0.0,1.0
clinical_astra_b01_009,microsoft/phi-4,BF16,0.0,1.0
clinical_astra_b01_009,microsoft/phi-4,NF4,0.0,1.0
clinical_astra_b01_010,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_010,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_010,XHToken/Spark-X2.5-4B,BF16,1.0,0.0
clinical_astra_b01_010,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_010,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_010,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_010,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_010,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_010,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_010,google/gemma-4-12B-it,NF4,1.0,0.0
clinical_astra_b01_010,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_010,meta-llama/Llama-3.1-8B-Instruct,NF4,1.0,0.0
clinical_astra_b01_010,meta-llama/Llama-3.2-1B-Instruct,BF16,0.0,0.0
clinical_astra_b01_010,meta-llama/Llama-3.2-1B-Instruct,NF4,0.0,0.0
clinical_astra_b01_010,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_010,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_011,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_011,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_011,XHToken/Spark-X2.5-4B,BF16,0.0,0.0
clinical_astra_b01_011,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_011,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_011,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_011,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_011,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_011,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_011,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_011,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_011,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,1.0
clinical_astra_b01_011,meta-llama/Llama-3.1-8B-Instruct,NF4,1.0,1.0
clinical_astra_b01_011,meta-llama/Llama-3.2-1B-Instruct,BF16,0.0,0.0
clinical_astra_b01_011,meta-llama/Llama-3.2-1B-Instruct,NF4,0.0,0.0
clinical_astra_b01_011,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_011,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_012,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_012,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_012,XHToken/Spark-X2.5-4B,BF16,1.0,1.0
clinical_astra_b01_012,XHToken/Spark-X2.5-4B,NF4,1.0,1.0
clinical_astra_b01_012,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_012,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_012,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_012,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_012,google/gemma-3-27b-it,BF16,0.0,1.0
clinical_astra_b01_012,google/gemma-3-27b-it,NF4,0.0,1.0
clinical_astra_b01_012,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_012,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_012,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_012,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,1.0
clinical_astra_b01_012,meta-llama/Llama-3.1-8B-Instruct,NF4,0.0,1.0
clinical_astra_b01_012,meta-llama/Llama-3.2-1B-Instruct,BF16,0.0,0.0
clinical_astra_b01_012,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_013,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_013,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_013,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_013,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_013,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_013,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_013,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_013,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_013,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_013,meta-llama/Llama-3.2-1B-Instruct,BF16,1.0,0.0
clinical_astra_b01_014,XHToken/Spark-X2.5-4B,BF16,1.0,0.0
clinical_astra_b01_014,XHToken/Spark-X2.5-4B,NF4,1.0,1.0
clinical_astra_b01_014,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_014,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_014,google/gemma-3-12b-it,BF16,1.0,0.0
clinical_astra_b01_014,google/gemma-3-12b-it,NF4,1.0,0.0
clinical_astra_b01_014,google/gemma-3-27b-it,BF16,0.0,0.0
clinical_astra_b01_014,google/gemma-3-27b-it,NF4,1.0,0.0
clinical_astra_b01_014,google/gemma-4-12B-it,BF16,1.0,0.0
clinical_astra_b01_014,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_014,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_014,meta-llama/Llama-3.1-8B-Instruct,NF4,0.0,0.0
clinical_astra_b01_014,meta-llama/Llama-3.2-1B-Instruct,BF16,1.0,1.0
clinical_astra_b01_014,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_014,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_015,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_015,XHToken/Spark-X2.5-4B,BF16,0.0,1.0
clinical_astra_b01_015,XHToken/Spark-X2.5-4B,NF4,0.0,1.0
clinical_astra_b01_015,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_015,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_015,google/gemma-3-12b-it,BF16,0.0,1.0
clinical_astra_b01_015,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_015,google/gemma-3-27b-it,BF16,0.0,1.0
clinical_astra_b01_015,google/gemma-3-27b-it,NF4,0.0,1.0
clinical_astra_b01_015,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_015,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_015,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_015,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,1.0
clinical_astra_b01_015,meta-llama/Llama-3.1-8B-Instruct,NF4,0.0,1.0
clinical_astra_b01_015,microsoft/phi-4,BF16,0.0,1.0
clinical_astra_b01_015,microsoft/phi-4,NF4,0.0,1.0
clinical_astra_b01_016,XHToken/Spark-X2.5-4B,NF4,0.0,0.0
clinical_astra_b01_016,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_016,google/gemma-3-12b-it,BF16,0.0,0.0
clinical_astra_b01_016,google/gemma-3-12b-it,NF4,0.0,0.0
clinical_astra_b01_016,google/gemma-3-27b-it,BF16,0.0,0.0
clinical_astra_b01_016,google/gemma-3-27b-it,NF4,0.0,0.0
clinical_astra_b01_016,google/gemma-4-12B-it,BF16,0.0,1.0
clinical_astra_b01_016,google/gemma-4-12B-it,NF4,0.0,1.0
clinical_astra_b01_016,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_016,meta-llama/Llama-3.1-8B-Instruct,BF16,0.0,0.0
clinical_astra_b01_016,meta-llama/Llama-3.1-8B-Instruct,NF4,0.0,0.0
clinical_astra_b01_016,meta-llama/Llama-3.2-1B-Instruct,BF16,0.0,0.0
clinical_astra_b01_016,microsoft/phi-4,BF16,0.0,0.0
clinical_astra_b01_016,microsoft/phi-4,NF4,0.0,0.0
clinical_astra_b01_017,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_017,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_017,XHToken/Spark-X2.5-4B,BF16,1.0,1.0
clinical_astra_b01_017,XHToken/Spark-X2.5-4B,NF4,1.0,1.0
clinical_astra_b01_017,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_017,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_017,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_017,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_017,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_017,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_017,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_017,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_017,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_017,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,1.0
clinical_astra_b01_017,meta-llama/Llama-3.1-8B-Instruct,NF4,1.0,1.0
clinical_astra_b01_017,meta-llama/Llama-3.2-1B-Instruct,NF4,1.0,1.0
clinical_astra_b01_017,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_017,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_018,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_018,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_018,XHToken/Spark-X2.5-4B,BF16,1.0,1.0
clinical_astra_b01_018,XHToken/Spark-X2.5-4B,NF4,1.0,1.0
clinical_astra_b01_018,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_018,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_018,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_018,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_018,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_018,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_018,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_018,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_018,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_018,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,1.0
clinical_astra_b01_018,meta-llama/Llama-3.1-8B-Instruct,NF4,1.0,1.0
clinical_astra_b01_018,meta-llama/Llama-3.2-1B-Instruct,NF4,0.0,1.0
clinical_astra_b01_018,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_018,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_019,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_019,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_019,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_019,google/gemma-3-12b-it,BF16,1.0,1.0
clinical_astra_b01_019,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b01_019,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_019,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_019,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_019,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_019,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_019,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b01_019,microsoft/phi-4,NF4,1.0,1.0
clinical_astra_b01_020,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b01_020,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b01_020,XHToken/Spark-X2.5-4B,BF16,0.0,0.0
clinical_astra_b01_020,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b01_020,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b01_020,google/gemma-3-12b-it,BF16,1.0,0.0
clinical_astra_b01_020,google/gemma-3-12b-it,NF4,0.0,0.0
clinical_astra_b01_020,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b01_020,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b01_020,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b01_020,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b01_020,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b01_020,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,0.0
clinical_astra_b01_020,meta-llama/Llama-3.2-1B-Instruct,BF16,0.0,0.0
clinical_astra_b01_020,meta-llama/Llama-3.2-1B-Instruct,NF4,0.0,0.0
clinical_astra_b01_020,microsoft/phi-4,BF16,1.0,1.0
clinical_astra_b02_001,Qwen/Qwen3.8-27B,BF16,1.0,1.0
clinical_astra_b02_001,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b02_001,XHToken/Spark-X2.5-4B,BF16,0.0,0.0
clinical_astra_b02_001,XHToken/Spark-X2.5-4B,NF4,0.0,0.0
clinical_astra_b02_001,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b02_001,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b02_001,google/gemma-3-12b-it,BF16,1.0,0.0
clinical_astra_b02_001,google/gemma-3-12b-it,NF4,1.0,1.0
clinical_astra_b02_001,google/gemma-3-27b-it,BF16,1.0,1.0
clinical_astra_b02_001,google/gemma-3-27b-it,NF4,0.0,0.0
clinical_astra_b02_001,google/gemma-4-12B-it,NF4,1.0,1.0
clinical_astra_b02_001,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b02_001,meta-llama/Llama-3.1-8B-Instruct,BF16,1.0,0.0
clinical_astra_b02_001,meta-llama/Llama-3.1-8B-Instruct,NF4,1.0,1.0
clinical_astra_b02_001,meta-llama/Llama-3.2-1B-Instruct,BF16,0.0,0.0
clinical_astra_b02_001,meta-llama/Llama-3.2-1B-Instruct,NF4,0.0,0.0
clinical_astra_b02_001,microsoft/phi-4,BF16,1.0,0.0
clinical_astra_b02_001,microsoft/phi-4,NF4,1.0,0.0
clinical_astra_b02_002,Qwen/Qwen3.8-27B,NF4,1.0,1.0
clinical_astra_b02_002,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b02_002,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b02_002,google/gemma-3-12b-it,BF16,0.0,1.0
clinical_astra_b02_002,google/gemma-3-12b-it,NF4,0.0,0.0
clinical_astra_b02_002,google/gemma-3-27b-it,NF4,1.0,1.0
clinical_astra_b02_002,google/gemma-4-12B-it,BF16,1.0,1.0
clinical_astra_b02_002,google/gemma-4-12B-it,NF4,0.0,0.0
clinical_astra_b02_002,gpt-5.5-2026-04-23,API,1.0,1.0
clinical_astra_b02_002,meta-llama/Llama-3.1-8B-Instruct,NF4,1.0,0.0
clinical_astra_b02_002,microsoft/phi-4,BF16,0.0,0.0
clinical_astra_b02_003,XHToken/Spark-X2.5-4B,BF16,0.0,0.0
clinical_astra_b02_003,XHToken/Spark-X2.5-4B,NF4,0.0,0.0
clinical_astra_b02_003,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b02_003,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b02_003,google/gemma-3-12b-it,NF4,0.0,0.0
clinical_astra_b02_003,google/gemma-3-27b-it,BF16,0.0,0.0
clinical_astra_b02_003,google/gemma-3-27b-it,NF4,0.0,0.0
clinical_astra_b02_003,google/gemma-4-12B-it,BF16,0.0,0.0
clinical_astra_b02_003,google/gemma-4-12B-it,NF4,0.0,0.0
clinical_astra_b02_003,gpt-5.5-2026-04-23,API,0.0,1.0
clinical_astra_b02_003,meta-llama/Llama-3.1-8B-Instruct,NF4,0.0,0.0
clinical_astra_b02_003,microsoft/phi-4,BF16,0.0,0.0
clinical_astra_b02_003,microsoft/phi-4,NF4,0.0,0.0
clinical_astra_b02_004,Qwen/Qwen3.8-27B,NF4,0.0,0.0
clinical_astra_b02_004,XHToken/Spark-X2.5-4B,BF16,0.0,0.0
clinical_astra_b02_004,anthropic/claude-opus-4.8,API,1.0,1.0
clinical_astra_b02_004,gemini-3.8-flash,API,1.0,1.0
clinical_astra_b02_004,google/gemma-3-12b-it,BF16,0.0,0.0
